code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
28499	10	16	20	18	18	20	20	7	15	20	0.67	93.60%	91	89	91.22	3.5
28501	7	15	9	15	13	15	16	4	13	20	0	72.20%	86	65	72.06	1.9
28694	10	15	20	19	18	16	19	8	19	20	0	93.20%	74	68	79.27	2.5
28696	10	15	20	19	16	11	18	9	16	20	0.33	87.70%	70	63	74.28	2.1
28853	10	16	20	19	19	17	1	9	15	18	0	81.80%	41	29	52.53	0
28880	9	15	20	19	20	19	19	10	21	20	0	97.70%	96	0	58.29	0.7
28944	10	16	20	16	18	17	15	8	16	20	0	88.60%	85	74	82.05	2.8
29016	10	16	19	17	15	18	16	10	19	20	0	90.90%	97	89	91.36	3.5
29279	7	16	18	1	1	6	10	7	12	20	0	55.70%	62	40	50.67	0
29351	9	16	20	18	18	18	14	8	18	20	0	90.30%	73	69	78.34	2.4
